LAST_NAME;PERSONAL_PHOTO;NAME;SECOND_NAME;WORK_POSITION;EMAIL;PERSONAL_BIRTHDAY;PERSONAL_GENDER;WORK_PHONE;UF_1C_PHONE_INNER;PERSONAL_MOBILE;PERSONAL_ICQ;LOGIN;IBLOCK_SECTION_NAME_1;IBLOCK_SECTION_NAME_2;IBLOCK_SECTION_NAME_3;IBLOCK_SECTION_NAME_4
Bromer;571/22b.jpg;Valentin;;Personalsachbearbeiter;v.bromer@example.com;17.07.1978;M;680-83-94;789;880-43-63;898-833-828;BromerV;Niederlassung Berlin;Personalabteilung;;
Brook;ed6/18b.jpg;Damian;;Personalsachbearbeiter;d.brook@example.com;13.07.1975;M;620-56-93;546;567-83-93;278-832-322;BrookD;Niederlassung Berlin;Personalabteilung;;
Butz;8f7/15b.gif;Martin;;Lohn- und Gehaltsbuchhalter;m.butz@example.com;07.05.1979;M;486-89-26;924;385-73-85;386-757-723;ButzM;Niederlassung Berlin;Personalabteilung;;
Clever;549/200472780-001.gif;Alex;;Personalreferent;a.clever@example.com;09.05.1981;M;724-17-31;874;835-93-25;387-383-264;CleverA;Niederlassung Berlin;Personalabteilung;;
Niesing;d5e/73828711.gif;Ron;;Personalsachbearbeiter;r.niesing@example.com;08.05.1983;M;486-28-12;893;486-64-23;528-865-286;NiesingR;Niederlassung Berlin;Personalabteilung;;
Penner;635/200507598-001.gif;Martin;;Personalreferent;m.penner@example.com;14.07.1976;M;567-84-83;667;844-84-43;622-983-832;PennerM;Niederlassung Berlin;Personalabteilung;;
Schulz;d5c/stk147530rke.gif;Ella;;Personalsachbearbeiterin;e.schulz@example.com;21.07.1980;F;356-83-93;579;764-89-84;279-943-944;SchulzE;Niederlassung Berlin;Personalabteilung;;
Stich;87a/51b.jpg;Noah;;Personalsachbearbeiter;n.stich@example.com;29.06.1982;M;286-83-35;75;746-23-86;587-423-623;StichN;Niederlassung Berlin;Personalabteilung;;
Toll;794/200479221-001.gif;Alexander;;Lohn- und Gehaltsbuchhalter;a.toll@example.com;11.07.1980;M;633-83-94;369;622-83-43;628-832-832;TollA;Niederlassung Berlin;Personalabteilung;;
Bennet;c38/1b.jpg;Mary;;Sachbearbeiterin Qualitätsmanagement;m.bennet@example.com;05.07.1978;F;674-83-83;470;562-89-83;431-834-216;BennetM;Niederlassung Berlin;Qualitätsmanagement;;
Benz;f18/2b.jpg;Natasha;;Assistentin Qualitätsmanagement;n.benz@example.com;06.07.1978;F;652-98-83;901;399-51-45;644-954-945;BenzN;Niederlassung Berlin;Qualitätsmanagement;;
Bonn;ba2/54b.jpg;Alex;;Sachbearbeiter Qualitätsmanagement;a.bonn@example.com;01.10.1980;M;894-94-84;902;846-43-93;903-832-893;BonnA;Niederlassung Berlin;Qualitätsmanagement;;
Clemens;9a2/73122053.gif;Eugen;;Sachbearbeiter Qualitätsmanagement;e.clemens@example.com;12.07.1976;M;333-83-83;675;688-83-94;617-832-832;ClemensE;Niederlassung Berlin;Qualitätsmanagement;;
Stark;a17/3b.jpg;Louise;;Teamleiterin Qualitätsmanagement;l.stark@example.com;18.07.1978;F;564-943-784;773;544-84-33;633-832-832;StarkL;Niederlassung Berlin;Qualitätsmanagement;;
Abshoff;aaf/4b.jpg;Sarah;;Call Center Agent;s.abshoff@example.com;16.03.1974;F;812-67-04;26;623-87-48;404-792-334;AbshoffS;Niederlassung Berlin;Support;Beratung;
Andermann;a3c/42-17611981.gif;Andy;;Call Center Agent;a.andermann@example.com;15.03.1976;M;310-94-68;25;958-98-04;471-686-464;AndermannA;Niederlassung Berlin;Support;Beratung;
Arndt;2f2/50b.jpg;Gregor;;Programmierer;g.arndt@example.com;27.09.1980;M;723-05-83;851;678-25-72;678-157-953;ArndtG;Niederlassung Berlin;Support;Beratung;
Berg;5dc/28b.jpg;Gisela;;Call Center Agent;g.berg@example.com;21.04.1980;F;843-56-38;645;442-709-439;356-856-844;BergG;Niederlassung Berlin;Support;Beratung;
Brocker;929/46b.jpg;Louise;;Support Assistentin;l.brocker@example.com;24.09.1984;F;489-05-94;892;647-87-34;779-942-932;BrockerL;Niederlassung Berlin;Support;Beratung;
Clages;8bf/33b.jpg;Martina;;Call Center Agent;m.clages@example.com;24.04.1980;F;456-67-87;890;542-83-56;843-332-822;ClagesM;Niederlassung Berlin;Support;Beratung;
Comberg;66a/32b.jpg;Dorothea;;Call Center Agent;d.comberg@example.com;23.04.1980;F;239-52-39;984;653-64-76;568-569-853;CombergD;Niederlassung Berlin;Support;Beratung;
Coxhafen;2bf/7b.jpg;Dieter;;Call Center Agent;d.coxhafen@example.com;17.03.1961;M;938-34-73;73;504-55-66;870-357-295;CoxhafenD;Niederlassung Berlin;Support;Beratung;
Cromweil;446/29b.jpg;Elisa;;Call Center Agent;e.cromweil@example.com;22.04.1980;F;545-55-62;679;435-768-622;367-363-567;CromweilE;Niederlassung Berlin;Support;Beratung;
Derick;757/49b.jpg;Michael;;IT Support Spezialist;m.derick@example.com;26.09.1979;M;736-51-25;7350;437-87-82;728-831-897;DerickM;Niederlassung Berlin;Support;Beratung;
Lang;6f1/51b.jpg;Manuel;;Programmierer;m.lang@example.com;28.09.1979;M;842-94-94;748;763-94-83;784-942-943;LangM;Niederlassung Berlin;Support;Beratung;
Paul;b3a/48b.jpg;Andreas;;IT Support Spezialist;a.paul@example.com;25.09.1976;M;742-93-89;735;784-94-82;876-943-822;PaulA;Niederlassung Berlin;Support;Beratung;
Welp;981/man5b.jpg;Alex;;Call Center Agent;a.welp@example.com;14.03.1979;M;405-63-75;58;731-67-96;472-523-965;WelpA;Niederlassung Berlin;Support;Beratung;
Weltler;a4a/22b.jpg;Arnold;;Teamleiter Call Center;a.weltler@example.com;02.06.1978;M;543-97-28;541;528-69-33;465-732-342;WeltlerA;Niederlassung Berlin;Support;Beratung;
Albertus;7f6/73828045.gif;Alexander;;IT Support Spezialist;a.albertus@example.com;30.04.1978;M;274-85-23;638;372-86-34;882-464-892;AlbertusA;Niederlassung Berlin;Support;Technik;
Astler;920/200130455-001.gif;Bastian;;Programmierer;b.astler@example.com;07.08.2028;M;648-42-12;618;125-71-33;943-722-165;AstlerB;Niederlassung Berlin;Support;Technik;
Bannke;f03/5b.jpg;Michael;;IT Support Spezialist;m.bannke@example.com;26.04.1979;M;734-27-87;86;335-76-23;755-472-184;BannkeM;Niederlassung Berlin;Support;Technik;
Bennert;444/19b.jpg;Gregor;;Programmierer;g.bennert@example.com;11.05.1981;M;375-57-23;721;396-38-75;287-457-875;BennertG;Niederlassung Berlin;Support;Technik;
Bereit;fc2/46b.jpg;Anton;;Programmierer;a.bereit@example.com;19.09.1974;M;743-94-94;891;737-87-51;955-443-832;BereitA;Niederlassung Berlin;Support;Technik;
Brandt;696/200516576-001.gif;Georg;;IT Support Spezialist;g.brandt@example.com;22.04.1981;M;367-23-75;263;835-37-43;285-476-953;BrandtG;Niederlassung Berlin;Support;Technik;
Bratenberg;216/74b.jpg;Vincent;;Support Assistent;v.bratenberg@example.com;21.07.1983;M;165-46-37;675;463-67-34;864-234-724;BratenbergV;Niederlassung Berlin;Support;Technik;
Breuer;830/8b.jpg;Joel;;IT Support Spezialist;j.breuer@example.com;01.05.1982;M;285-24-17;830;639-83-95;374-906-038;BreuerJ;Niederlassung Berlin;Support;Technik;
Castler;096/73b.jpg;Otto;;Support Assistent;o.castler@example.com;20.07.1985;M;199-45-97;902;753-34-76;495-289-490;CastlerO;Niederlassung Berlin;Support;Technik;
Gans;b78/200477707-001.gif;Emil;;IT Support Spezialist;e.gans@example.com;23.04.1983;M;275-85-24;937;125-12-64;643-674-232;GansE;Niederlassung Berlin;Support;Technik;
Janke;bc8/72b.jpg;Paul;;Programmierer;p.janke@example.com;19.07.1983;M;165-75-23;872;547-34-87;745-243-624;JankeP;Niederlassung Berlin;Support;Technik;
Kern;659/200491503-003.gif;Mattias;;Programmierer;m.kern@example.com;24.04.1982;M;753-86-23;729;642-23-17;745-346-272;KernM;Niederlassung Berlin;Support;Technik;
Kind;349/45b.jpg;Madeleine;;Support Assistentin;m.kind@example.com;23.09.1979;F;843-89-83;833;871-93-64;677-834-053;KindM;Niederlassung Berlin;Support;Technik;
Lemberg;100/2b.jpg;Isabel;;Support Assistentin;i.lemberg@example.com;28.04.1984;F;274-85-23;725;493-26-86;835-517-387;LembergI;Niederlassung Berlin;Support;Technik;
Neumann;79e/1b.jpg;Antonia;;Programmiererin;a.neumann@example.com;27.04.1983;F;373-13-16;622;524-44-63;875-231-135;NeumannA;Niederlassung Berlin;Support;Technik;
Talhof;0f5/6b.jpg;Leo;;Support Assistent;l.talhof@example.com;29.04.1985;M;647-78-43;356;848-27-59;483-837-284;TalhofL;Niederlassung Berlin;Support;Technik;
Weiss;85b/44b.jpg;Martin;;IT Support Spezialist;m.weiss@example.com;18.09.1978;M;600-83-94;876;438-94-93;368-943-893;WeissM;Niederlassung Berlin;Support;Technik;
Wendel;de4/71b.jpg;Ron;;IT Support Spezialist;r.wendel@example.com;18.07.1982;M;165-47-32;652;375-34-67;563-674-236;WendelR;Niederlassung Berlin;Support;Technik;
Willett;5c8/18b.jpg;Artur;;Programmierer;a.willett@example.com;10.05.1982;M;285-35-26;572;835-28-54;854-286-970;WillettA;Niederlassung Berlin;Support;Technik;
Bahl;b36/67b.jpg;Anton;;PR Berater;a.bahl@example.com;14.07.1982;M;167-54-37;520;473-35-89;573-684-255;BahlA;Niederlassung Berlin;Vertrieb;Öffentlichkeitsarbeit;
Becker;d68/73607873.gif;Eugen;;PR Berater;e.becker@example.com;15.07.1983;M;175-37-23;588;547-34-84;463-875-235;BeckerE;Niederlassung Berlin;Vertrieb;Öffentlichkeitsarbeit;
Belcher;62b/43b.jpg;Laura;;PR Beraterin;l.belcher@example.com;21.09.1980;F;622-98-81;771;658-83-13;849-943-357;BelcherL;Niederlassung Berlin;Vertrieb;Öffentlichkeitsarbeit;
Crabbe;1f8/44b.jpg;Isabel;;PR Assistentin;i.crabbe@example.com;22.09.1978;F;635-61-19;591;690-41-51;299-518-677;CrabbeI;Niederlassung Berlin;Vertrieb;Öffentlichkeitsarbeit;
Emmerich;cb2/47b.jpg;Ralf;;PR Projektleiter;r.emmerich@example.com;20.09.1975;M;446-42-36;4780;657-15-84;368-550-832;EmmerichR;Niederlassung Berlin;Vertrieb;Öffentlichkeitsarbeit;
Jorris;7b7/70b.jpg;Mattias;;PR Assistent;m.jorris@example.com;17.07.1985;M;375-37-74;571;563-23-35;374-634-231;JorrisM;Niederlassung Berlin;Vertrieb;Öffentlichkeitsarbeit;
Steffen;8cf/69b.jpg;Leo;;PR Berater;l.steffen@example.com;16.07.1977;M;154-67-34;722;154-42-45;456-674-234;SteffenL;Niederlassung Berlin;Vertrieb;Öffentlichkeitsarbeit;
Wetztein;825/32b.jpg;Joel;;PR Berater;j.wetztein@example.com;03.08.1976;M;745-95-83;567;745-05-94;468-356-732;WetzteinJ;Niederlassung Berlin;Vertrieb;Öffentlichkeitsarbeit;
Ball;9d7/24b.jpg;Laura;;Mitarbeiterin Rechnungswesen;l.ball@example.com;28.08.1979;F;744-94-54;480;441-95-53;742-985-943;BallL;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Burggraf;65f/42-17924555.gif;Natasha;;Assistentin Rechnungswesen;n.burggraf@example.com;23.07.1973;F;546-36-22;530;952-52-22;330-523-628;BurggrafN;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Carsten;651/200117007-002.gif;Anton;;Mitarbeiter Rechnungswesen;a.carsten@example.com;01.07.1980;M;275-97-12;868;458-69-34;875-241-834;CarstenA;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Classen;d75/43b.jpg;Vincent;;Mitarbeiter Rechnungswesen;v.classen@example.com;10.09.1974;M;457-88-83;734;733-83-23;842-944-943;ClassenV;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Cocker;b73/200525319-001.gif;Andre;;Assistent Rechnungswesen;a.cocker@example.com;30.06.1983;M;276-38-35;812;483-38-67;845-322-763;CockerA;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Coenen;b91/23b.jpg;Tina;;Mitarbeiterin Rechnungswesen;t.coenen@example.com;27.08.1977;F;651-89-94;7330;734-41-89;844-468-954;CoenenT;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Cornell;057/36b.jpg;Annette;;Mitarbeiterin Rechnungswesen;a.cornell@example.com;12.09.1981;F;351-84-95;742;356-94-98;628-578-827;CornellA;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Heiber;da1/35b.jpg;Ella;;Mitarbeiterin Rechnungswesen;e.heiber@example.com;11.09.1978;F;452-89-84;741;456-34-95;633-145-936;HeiberE;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Peters;b90/200300246-001.gif;Gregor;;Mitarbeiter Rechnungswesen;g.peters@example.com;03.07.1983;M;274-37-43;672;855-98-54;734-867-322;PetersG;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Tamm;6e7/40b.jpg;Paul;;SAP Inhouse Consultant;p.tamm@example.com;22.08.1975;M;547-62-62;549;657-97-51;345-759-511;TammP;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Westerman;b24/200418306-002.gif;Sigfried;;Leiter Finanz- & Rechnungswesen;s.westerman@example.com;23.08.1979;M;531-34-95;7491;879-54-84;391-898-833;WestermanS;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Wiedemann;c3f/55b.jpg;Denis;;Mitarbeiter Rechnungswesen;d.wiedemann@example.com;02.07.1980;M;175-38-345;532;486-75-24;754-245-364;WiedemannD;Niederlassung Berlin;Vertrieb;Rechnungswesen;
Altenhoff;d8f/64b.jpg;Roman;;Junior Produktmanager;r.altenhoff@example.com;11.07.1979;M;176-89-34;759;592-36-97;296-545-754;AltenhoffR;Niederlassung Berlin;Vertrieb;Verkauf;
Anders;355/200156574-001.gif;Nickolas;;Junior Produktmanager;n.anders@example.com;30.07.1977;M;479-94-43;402;468-43-43;637-932-945;AndersN;Niederlassung Berlin;Vertrieb;Verkauf;
Appold;a12/22b.jpg;Olivia;;Verkaufsassistentin;o.appold@example.com;26.08.1980;F;441-73-95;502;637-87-22;738-843-325;AppoldO;Niederlassung Berlin;Vertrieb;Verkauf;
Apsel;743/75b.jpg;Valentin;;Verkaufsassistent;v.apsel@example.com;22.07.1983;M;154-75-32;745;435-76-34;764-345-974;ApselV;Niederlassung Berlin;Vertrieb;Verkauf;
Beller;b3c/61b.jpg;Leo;;Sales Manager;l.beller@example.com;08.07.1982;M;274-24-86;52;754-97-32;285-38-83;BellerL;Niederlassung Berlin;Vertrieb;Verkauf;
Brandmeier;3d0/66b.jpg;Nickolas;;Produktmanager;n.brandmeier@example.com;13.07.1981;M;165-47-84;580;432-23-15;745-231-132;BrandmeierN;Niederlassung Berlin;Vertrieb;Verkauf;
Buschmann;d23/65b.jpg;Tobias;;Produktmanager;t.buschmann@example.com;12.07.1983;M;176-46-24;471;755-86-46;684-244-744;BuschmannT;Niederlassung Berlin;Vertrieb;Verkauf;
Chamer;884/200463331-002.gif;Boris;;Sales Manager;b.chamer@example.com;07.07.1982;M;165-37-86;478;575-98-34;473-236-874;ChamerB;Niederlassung Berlin;Vertrieb;Verkauf;
Cramer;a18/200118194-001.gif;Marcel;;Sales Manager;m.cramer@example.com;26.07.1968;M;374-83-93;564;377-87-93;744-833-831;CramerM;Niederlassung Berlin;Vertrieb;Verkauf;
Creder;dd2/28b.jpg;Matthias;;Sales Manager;m.creder@example.com;29.07.1979;M;599-43-84;633;785-94-43;489-095-953;CrederM;Niederlassung Berlin;Vertrieb;Verkauf;
