LAST_NAME;PERSONAL_PHOTO;NAME;SECOND_NAME;WORK_POSITION;EMAIL;PERSONAL_BIRTHDAY;PERSONAL_GENDER;WORK_PHONE;UF_PHONE_INNER;PERSONAL_MOBILE;PERSONAL_ICQ;LOGIN;IBLOCK_SECTION_NAME_1;IBLOCK_SECTION_NAME_2;IBLOCK_SECTION_NAME_3;IBLOCK_SECTION_NAME_4
Êàðàìûøåâà;554/woman2_big.jpg;Äàðüÿ;ßðîñëàâîâíà;ìåíåäæåð;d.karamysheva@example.com;05.02.1987;F;8 (495) 444-45-34;343;8 (495) 345-33-12;345-936-544;d.karamysheva;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Çàãóäàëîâ;159/42-17224259.gif;Âàñèëèé;Ñòàíèñëàâîâè÷;ìåíåäæåð;v.zagudalov@example.com;06.02.1986;M;8 (495) 564-56-34;234;8 (495) 346-65-54;564-768-776;v.zagudalov;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Ñàâîñüêèíà;33c/42-17830889.gif;Åêàòåðèíà;Âàñèëèåâíà;ìåíåäæåð;e.savoskina@example.com;07.02.1986;F;8 (495) 454-33-42;121;8 (495) 345-65-43;343-454-223;e.savoskina;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Àáðàìîâ;5a4/m10_big.jpg;Êîíñòàíòèí;Þðüåâè÷;ìåíåäæåð;k.abramov@example.com;01.02.1976;M;8 (495) 123-45-67;12;8 (495) 456-56-89;546-235-612;k.abramov;Ïåòåðáóðãñêèé ôèëèàë;Àäìèíèñòðàöèÿ;;
Àäðîâà;096/w10_big.jpg;Ñâåòëàíà;Àëåêñàíäðîâíà;ìåíåäæåð;s.adrova@example.com;02.02.1978;F;8 (495) 324-56-89;14;8 (495) 343-65-89;678-678-234;s.adrova;Ïåòåðáóðãñêèé ôèëèàë;Àäìèíèñòðàöèÿ;;
Àçíàóðÿí;5ec/m11_big.jpg;Íèêèòà;Àêîïîâè÷;àäìèíèñòðàòîð;n.aznauryan@example.com;03.02.1975;M;8 (495) 123-67-78;16;8 (495) 657-89-23;355-567-678;n.aznauryan;Ïåòåðáóðãñêèé ôèëèàë;Àäìèíèñòðàöèÿ;;
Àéòêóëîâ;f45/42-18249127.gif;Ðóñëàí;Ìåäèõàòîâè÷;àíàëèòèê;r.ajtkulov@example.com;04.02.1974;M;8 (495) 124-67-78;12;8 (495) 456-27-98;456-789-456;r.ajtkulov;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Àíàëèòè÷åñêèé îòäåë;
Àíâàåð;9c8/42-18113578.gif;Åâãåíèé;Åâãåíüåâè÷;àíàëèòèê;e.anvaer@example.com;05.02.1975;M;8 (495) 457-67-89;34;8 (495) 678-78-78;567-344-899;e.anvaer;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Àíàëèòè÷åñêèé îòäåë;
Àíäðååâ;b0d/m14_big.jpg;Àëåêñåé;Âàëåðüåâè÷;àíàëèòèê;a.andreev@example.com;06.02.1976;M;8 (495) 244-56-98;21;8 (495) 567-87-43;456-776-432;a.andreev;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Àíàëèòè÷åñêèé îòäåë;
Àíäðååâà;ce5/w11_big.jpg;Àëëà;Àëåêñàíäðîâíà;àíàëèòèê;a.andreeva@example.com;07.02.1980;F;8 (495) 456-23-57;54;8 (495) 456-78-21;567-789-324;a.andreeva;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Àíàëèòè÷åñêèé îòäåë;
Àíèñèìîâ;de7/m15_big.jpg;Âëàäèìèð;Þðüåâè÷;àíàëèòèê;v.anisimov@example.com;08.02.1976;M;8 (495) 345-56-75;24;8 (495) 567-88-89;456-788-342;v.anisimov;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Àíàëèòè÷åñêèé îòäåë;
Áàðáàðàø;bce/w12_big.jpg;Ìàðèíà;Áîðèñîâíà;àíàëèòèê;m.barbarash@example.com;09.02.1976;F;8 (495) 345-67-78;56;8 (495) 567-67-79;458-448-638;m.barbarash;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Àíàëèòè÷åñêèé îòäåë;
Áåëîêîíü;82c/w13_big.jpg;Íàòàëüÿ;Èãîðåâíà;àäìèíèñòðàòîð;n.belokon@example.com;10.02.1981;F;8 (495) 567-67-78;34;8 (495) 456-57-78;568-788-556;n.belokon;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Àíàëèòè÷åñêèé îòäåë;
Àðòåì÷óê;5fc/16b.jpg;Èãîðü;Àëåêñàíäðîâè÷;êîîðäèíàòîð;i.artemchuk@example.com;11.02.1972;M;8 (495) 433-55-58;45;8 (495) 455-67-77;356-565-788;i.artemchuk;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Àíàëèòè÷åñêèé îòäåë;
Àôàíàñüåâ;87d/18b.jpg;Äìèòðèé;Ñåðãååâè÷;ìåíåäæåð ïî ðàçâèòèþ;d.afanasev@example.com;12.02.1969;M;8 (495) 356-57-68;47;8 (495) 451-45-89;456-976-543;d.afanasev;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Îòäåë ñòðàòåãè÷åñêîãî ïëàíèðîâàíèÿ;
Âàäàòóðñêàÿ;77e/w14_big.jpg;Íàòàëüÿ;Àëåêñàíäðîâíà;ìåíåäæåð ïî ðàçâèòèþ;n.vadaturskaya@example.com;13.02.1981;F;8 (495) 547-67-56;42;8 (495) 413-67-67;423-848-678;n.vadaturskaya;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Îòäåë ñòðàòåãè÷åñêîãî ïëàíèðîâàíèÿ;
Ãíåçäèëîâà;a3e/42-18010718.gif;Íàäåæäà;Àëåêñàíäðîâíà;ìåíåäæåð ïî ðàçâèòèþ;n.gnezdilova@example.com;14.02.1975;F;8 (495) 578-56-78;22;8 (495) 452-56-45;135-567-765;n.gnezdilova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Îòäåë ñòðàòåãè÷åñêîãî ïëàíèðîâàíèÿ;
Áàåâ;44c/m16_big.jpg;Âëàäèìèð;Âàëåðüåâè÷;ýêñïåðò;v.baev@example.com;15.02.1978;M;8 (495) 345-27-67;17;8 (495) 789-45-67;321-678-436;v.baev;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Ýêñïåðòíûé îòäåë;
Áèáèêîâ;1cf/42-17503976.gif;Êèðèëë;Âàñàêîâè÷;ýêñïåðò;k.bibikov@example.com;16.02.1980;M;8 (495) 233-56-78;76;;678-368-356;k.bibikov;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Ýêñïåðòíûé îòäåë;
Äàé÷èê;ad6/w16_big.jpg;Ìàðèíà;Âàëåðüåâíà;ýêñïåðò;m.dajchik@example.com;17.02.1983;F;8 (495) 875-86-74;53;8 (495) 519-67-98;978-543-345;m.dajchik;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ðàçâèòèÿ;Ýêñïåðòíûé îòäåë;
Áîëîíêèí;c9c/m18_big.jpg;Àíäðåé;Âëàäèìèðîâè÷;ìåíåäæåð;a.bolonkin@example.com;18.02.1980;M;8 (495) 561-56-42;31;8 (495) 429-67-89;623-789-234;a.bolonkin;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë èíôîðìàöèîííîãî îáåñïå÷åíèÿ;;
Áîðèñåíêî;db6/42-17663773.gif;Ãðèãîðèé;Âàëåðüåâè÷;ìåíåäæåð;g.borisenko@example.com;19.02.1975;M;8 (495) 678-78-23;59;8 (495) 598-67-54;521-985-378;g.borisenko;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë èíôîðìàöèîííîãî îáåñïå÷åíèÿ;;
Áîöóëà;d8d/m20_big.jpg;Àëåêñåé;Àíäðååâè÷;ìåíåäæåð;a.bocula@example.com;20.02.1976;M;8 (495) 490-45-27;19;8 (495) 512-67-39;789-345-666;a.bocula;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë èíôîðìàöèîííîãî îáåñïå÷åíèÿ;;
Äåãòÿðåâà;5e4/42-18086651.gif;Àííà;Àëåêñàíäðîâíà;ìåíåäæåð;a.degtyareva@example.com;21.02.1972;F;8 (495) 478-34-67;41;8 (495) 134-89-38;638-567-284;a.degtyareva;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë èíôîðìàöèîííîãî îáåñïå÷åíèÿ;;
Áóçäèí;6e3/24b.jpg;Êîíñòàíòèí;Âèêòîðîâè÷;íà÷àëüíèê îòäåëà;k.buzdin@example.com;22.02.1971;M;8 (495) 432-67-82;71;8 (495) 189-40-29;230-789-386;k.buzdin;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë èíôîðìàöèîííîãî îáåñïå÷åíèÿ;;
Æóêîâà;52a/42-17703087.gif;Êñåíèÿ;Âëàäèìèðîâíà;áóõãàëòåð;k.zhukova@example.com;23.02.1974;F;8 (495) 492-56-68;51;8 (495) 549-56-98;438-789-234;k.zhukova;Ïåòåðáóðãñêèé ôèëèàë;Ôèíàíñîâûé îòäåë;Áóõãàëòåðèÿ;
Èâëåâà;eb1/w18_big.jpg;Èðèíà;Èâàíîâíà;áóõãàëòåð;i.ivleva@example.com;24.02.1978;F;8 (495) 390-67-43;43;8 (495) 460-78-09;512-784-573;i.ivleva;Ïåòåðáóðãñêèé ôèëèàë;Ôèíàíñîâûé îòäåë;Áóõãàëòåðèÿ;
Äåíèñîâà;9c2/w19_big.jpg;Àíàñòàñèÿ;Âàëåðüåâíà;áóõãàëòåð;a.denisova@example.com;25.02.1980;F;8 (495) 646-67-55;44;8 (495) 648-46-23;451-563-398;a.denisova;Ïåòåðáóðãñêèé ôèëèàë;Ôèíàíñîâûé îòäåë;Áóõãàëòåðèÿ;
Èëëàðèîíîâà;3b7/72727403.gif;Ëþäìèëà;Âëàäèìèðîâíà;áóõãàëòåð;l.illarionova@example.com;26.02.1976;F;8 (495) 630-76-65;85;8 (495) 401-67-83;410-534-937;l.illarionova;Ïåòåðáóðãñêèé ôèëèàë;Ôèíàíñîâûé îòäåë;Áóõãàëòåðèÿ;
Áóðêîâ;1a1/22b.jpg;Àëåêñàíäð;Ñåðãååâè÷;íà÷àëüíèê îòäåëà;a.burkov@example.com;27.02.1976;M;8 (495) 341-56-46;67;8 (495) 734-68-78;766-467-436;a.burkov;Ïåòåðáóðãñêèé ôèëèàë;Ôèíàíñîâûé îòäåë;Áóõãàëòåðèÿ;
Áóòâèíà;3b3/42-17764926.gif;Àëåêñåé;Ìîèñååâè÷;ìåíåäæåð;a.butvina@example.com;28.02.1976;M;8 (495) 619-65-33;55;8 (495) 402-34-23;322-540-329;a.butvina;Ïåòåðáóðãñêèé ôèëèàë;Ôèíàíñîâûé îòäåë;Îòäåë ôèíàíñîâîãî ïëàíèðîâàíèÿ;
Áóõòîÿðîâ;cc6/42-17676311.gif;Âèêòîð;Åâãåíüåâè÷;ìåíåäæåð;v.buhtoyarov@example.com;01.03.1977;M;8 (495) 309-56-85;63;8 (495) 465-35-71;429-678-827;v.buhtoyarov;Ïåòåðáóðãñêèé ôèëèàë;Ôèíàíñîâûé îòäåë;Îòäåë ôèíàíñîâîãî ïëàíèðîâàíèÿ;
Áóøíåâ;c12/m23_big.jpg;Àëåêñàíäð;Âëàäèìèðîâè÷;íà÷àëüíèê îòäåëà;a.bushnev@example.com;02.03.1972;M;8 (495) 987-84-65;81;8 (495) 501-67-85;490-438-782;a.bushnev;Ïåòåðáóðãñêèé ôèëèàë;Ôèíàíñîâûé îòäåë;Îòäåë ôèíàíñîâîãî ïëàíèðîâàíèÿ;
Âÿçîâåöêèé;baa/m24_big.jpg;Ïåòð;Þðüåâè÷;ìåíåäæåð;p.vyazoveckij@example.com;03.03.1975;M;8 (495) 789-37-31;52;8 (495) 439-31-28;336-156-989;p.vyazoveckij;Ïåòåðáóðãñêèé ôèëèàë;Ôèíàíñîâûé îòäåë;Îòäåë ôèíàíñîâîãî ïëàíèðîâàíèÿ;
Ãåðàñåâ;e1f/m25_big.jpg;Àëåêñàíäð;Âèòàëüåâè÷;ñîòðóäíèê call center;a.gerasev@example.com;04.03.1980;M;8 (495) 403-43-67;46;8 (495) 403-48-73;561-680-421;a.gerasev;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Êàçèíîâà;53f/42-17923978.gif;Îëüãà;Àëåêñàíäðîâíà;ñîòðóäíèê call center;o.kazinova@example.com;05.03.1982;F;8 (495) 404-85-34;47;8 (495) 502-45-67;467-765-356;o.kazinova;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Call centre;
Ãåðàñþê;ada/man2_big.jpg;Àëåêñåé;Àëåêñåâè÷;ñïåöèàëèñò;a.gerasyuk@example.com;06.03.1981;M;8 (495) 423-57-62;10;8 (495) 516-67-54;356-249-628;a.gerasyuk;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Ãðèùåíêî;792/man3_big.jpg;Àíäðåé;Âÿ÷åñëàâîâè÷;ñïåöèàëèñò;a.grischenko@example.com;07.03.1982;M;8 (495) 387-21-73;23;8 (495) 368-23-78;304-679-850;a.grischenko;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Äàâûäîâ;7ed/42-17655097.gif;Àëåêñåé;Þðüåâè÷;ìàðêåòîëîã;a.davydov@example.com;08.03.1974;M;8 (495) 567-23-68;57;8 (495) 570-57-57;614-858-589;a.davydov;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ìàðêåòèíãà;Îòäåë Public Relation;
Øàìøóðèíà;096/42-17621060.gif;Ëþäìèëà;Ëüâîâíà;ìåíåäæåð;l.shamshurina@example.com;07.02.1984;F;8 (495) 453-56-34;345;8 (495) 345-67-45;253-345-353;l.shamshurina;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
ßðîøåíêî;f64/42-18099963.gif;Ãåííàäèé;Ñåðãååâè÷;ìåíåäæåð;g.yaroshenko@example.com;08.02.1985;M;8 (495) 670-23-86;34;8 (495) 563-87-76;455-342;g.yaroshenko;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
Äàé÷èê;b84/2b.jpg;Ñåðãåé;Ëüâîâè÷;ìàðêåòîëîã;s.dajchik@example.com;09.03.1978;M;8 (495) 624-67-68;72;8 (495) 312-87-87;912-873-968;s.dajchik;Ïåòåðáóðãñêèé ôèëèàë;Îòäåë ìàðêåòèíãà;Îòäåë Public Relation;
Òåïëîâà;bcb/w15_big.jpg;Êñåíèÿ;Äìèòðèåâíà;ìåíåäæåð;k.teplova@example.com;09.02.1978;F;8 (495) 434-45-67;37;8 (495) 454-77-54;564-769-324;k.teplova;Ìîñêîâñêèé ôèëèàë;Äåïàðòàìåíò ïî ðàáîòå ñ êëèåíòàìè;Îòäåë êëèåíòñêîé ïîääåðæêè;
